Matrícula;Salário
245302;28326,69
732601;1430,69
1324001;1637,36
1248503;3182,34
1864901;2942,27
1882301;2829,1
1992801;2829,1
1404201;10378,37
1405001;10378,37
1787301;6840,29
282304;1322,75
957902;11630,41
1630302;11630,41
1897902;11630,41
625503;9853,96
1632702;9853,96
683109;2596,21
1633802;9853,96
1770202;9853,96
84303;6348,38
397703;6348,38
1631802;6348,38
1633302;6348,38
1872902;6348,38
1913701;6348,38
1953701;6348,38
286901;3913,39
1714503;3913,39
1753802;3913,39
1937401;3913,39
1982001;3913,39
244503;3913,39
1113803;3913,39
1431202;3913,39
1793101;3913,39
1833501;3913,39
1936801;3913,39
876303;2723,72
1426304;1848,58
242903;11630,41
1721402;2829,1
1840801;2942,27
1840901;2942,27
1841101;2942,27
1841201;2942,27
1842001;2942,27
1889501;2829,1
971202;14163,33
973703;11630,41
1100606;3913,39
1821702;3913,39
135901;1487,92
543802;1430,69
723801;1322,75
730001;1430,69
734001;1375,66
736901;1430,69
1096101;1375,66
1157701;1430,69
1305801;1637,36
1651101;1839,43
878001;1616,05
192701;1989,54
1406102;1913,02
1214501;5896,8
412101;3871,82
415801;3871,82
1235402;10793,51
1130003;1322,75
535301;26077,66
761901;23986
1187501;23986
1190101;23986
1218103;23986
1363101;23986
1370801;23986
1371201;23986
1446703;19515,72
1529501;23986
1529601;23986
1529701;19515,72
1531301;19515,72
1538301;19515,72
1717001;19515,72
1729201;19515,72
1732901;19515,72
1769001;19515,72
959803;11630,41
1633403;10434,48
242202;9239,88
1628902;9239,9
1629002;9239,88
1633502;9239,88
1768602;9239,88
1700602;6348,38
772704;3913,39
893303;3913,39
1530805;3913,39
1876902;3913,39
1536302;3913,39
1529103;2723,72
950603;1848,58
1886402;1848,58
1886702;1848,58
1916101;1848,58
1964301;1848,58
1991601;1848,58
2021301;1345,84
3857001;1018,1
904104;1322,75
1273001;1322,75
2312002;2554,76
297103;3913,39
2013201;3913,39
1174506;1848,58
1932001;1848,58
247102;1345,84
1554101;1574,39
970403;11630,41
1177801;3059,95
1681202;1848,58
1907901;1848,58
1247503;11630,41
1701303;6348,38
1588903;1848,58
1980501;1848,58
1227001;1089,76
2866001;1018,1
3542001;1271,02
349401;1487,92
740901;1430,69
803801;1487,92
839501;1487,92
855201;1430,69
4659001;1547,44
4799001;1487,92
185101;1430,69
185803;1322,75
233801;1430,69
854903;1430,69
311901;2036,32
414804;1375,66
528601;1702,86
61201;1770,97
188101;2154,66
536001;2154,66
539901;1770,97
711001;1637,36
836101;1702,86
842201;1770,97
845501;2071,78
1315001;1574,39
1378202;1637,36
1788001;1992,1
3845001;2240,84
3899001;2071,78
4780001;1915,48
8793601;1992,1
158007;1574,39
237206;1637,36
535203;1574,39
708101;1637,36
708201;1637,36
711201;1637,36
711301;1574,39
723501;1637,36
744801;1637,36
806101;1770,97
857107;1574,39
1119006;1574,39
1126001;2240,84
1137704;1574,39
1220002;1637,36
1417905;1574,39
1842301;1574,39
4313001;1770,97
8791301;2069,1
4287001;3722,92
1211903;3400,87
1981001;3400,87
4213001;4840,49
838101;10567,33
1198501;10567,33
1822801;10160,89
1825701;10160,89
1925701;6978,64
957503;10793,51
1404401;10793,51
482404;1375,66
1132203;1322,75
1209103;1322,75
1295501;1375,66
957603;11630,41
714104;10567,33
1701803;9853,96
318103;6348,38
427401;6348,38
956802;6348,38
1098602;6348,38
1217004;6348,38
1701002;6348,38
248903;3913,39
1097802;3913,39
1220203;3913,39
1408804;3913,39
1629601;3913,39
1690403;3913,39
126901;3913,39
381503;3913,39
253802;2723,72
887505;2723,72
1707002;2723,72
1770301;2723,72
1822701;2723,72
1929002;2723,72
542805;1848,58
1390004;1848,58
1427404;1848,58
1632802;1848,58
1916401;1848,58
1918001;1848,58
1940601;1848,58
1949201;1848,58
1952001;1848,58
2027701;1848,58
1244305;1345,84
1980801;1345,84
1984201;1345,84
2007301;1345,84
166201;2820,68
400803;2504,67
514501;2605,85
655403;2605,85
877904;2268,56
789603;3605,97
1139201;3750,22
1434401;3975,24
1434701;3975,24
1434901;3975,24
1448501;3975,24
1448601;3750,22
165701;2701,1
553301;2755,15
621201;2701,1
633911;2495,39
658213;2495,39
664502;2810,23
697517;2495,39
697715;2495,39
767604;1350,56
1094619;2495,39
1145808;1247,7
1496902;2495,39
1535308;2495,39
1756904;2495,39
1798704;2495,39
1959501;2495,39
2037501;2495,39
4678001;1324,08
122702;3091,26
166601;3413
166801;3216,15
506801;2971,23
621401;1576,52
621801;3153,09
621902;3153,09
676206;3153,09
759503;3030,66
803601;3153,09
847901;3280,46
1044801;3030,66
1067106;3030,66
1100001;3153,09
1432607;2799,86
1674804;2799,86
2775001;3413
3166001;3413
4093001;3413
180701;2509,57
570601;2509,57
720302;2318,45
839301;2610,97
1046501;2364,82
128201;675,28
491001;675,28
676404;675,28
832501;716,58
1138701;662,03
1255903;688,77
1268302;636,32
1420903;675,28
1493201;702,54
1495301;662,03
1705004;623,86
1739102;636,32
1805003;636,32
1849601;623,86
1866301;636,32
420901;3754,3
621601;3468,39
903101;3754,3
745901;788,29
952612;578,48
1121622;567,16
1144014;567,16
1184306;567,16
1256005;567,16
1293212;567,16
1319804;567,16
1432906;567,16
1502601;590,03
1503803;567,16
1526212;567,16
1571004;567,16
1666206;567,16
1667913;567,16
1684103;567,16
1805802;567,16
1815206;567,16
1847601;578,48
1855101;567,16
1861603;567,16
1961601;567,16
1962101;567,16
2011901;567,16
122302;1134,27
553402;1134,27
660920;1134,27
670815;1134,27
687804;1252,34
688603;1377,56
719609;1134,27
731002;1227,79
811001;1382,67
825301;1438,53
853301;1302,92
867220;1227,79
983910;1203,7
1002709;1134,27
1005807;1134,27
1025902;1134,27
1040914;1134,27
1045201;1156,94
1062408;1134,27
1065224;1134,27
1069714;1134,27
1140802;1180,11
1149804;1134,27
1189903;1277,4
1232602;1134,27
1259312;1134,27
1266816;1134,27
1275403;1134,27
1362212;1134,27
1385524;1134,27
1424609;1134,27
1441804;1134,27
1446609;1134,27
1451810;1134,27
1467316;1134,27
