Tipo;Região;Equipe;Endereço;Metragem Linear;Quantitativo Linear;Frequência Semanal;Quant. Dia/Mes;Metragem Diária;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 1;Praça Visconde do Rio Novo (Rod. Velha);125;2;2ª a Domingo;30;250;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 1;Av. Condessa do Rio Novo (parte);900;1;2ª a Domingo;30;900;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 1;Rua Barão de Entre Rios;560;2;2ª a Sábado;26;1120;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 1;Rua Presidente Vargas (parte);400;2;2ª a Domingo;30;800;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 1;Rua Luiz Bravo;210;2;2ª a Sábado;26;420;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 1;Rua Barbosa Andrade;350;2;2ª a Sábado;26;700;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 1;Rua Prof. Adelino P. Lemos;80;2;2ª a Sábado;26;160;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 1;Rua Sete de Setembro (parte);150;2;2ª a Domingo;30;300;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 1;Rua Osvaldo Cruz (parte);90;2;2ª a Sábado;26;180;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 1;Trav. Al. Alves;40;2;2ª a Sábado;26;80;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Praça da Autonomia;300;2;2ª a Domingo;30;600;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Rua 14 de Dezembro (parte);200;2;2ª a Domingo;30;400;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Rua Dr. Walmir Peçanha;200;2;2ª a Domingo;30;400;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Av. Condessa do Rio Novo (parte);200;2;2ª a Sábado;26;400;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Rua Presidente Vargas (parte);200;2;2ª a Domingo;30;400;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Rua Marechal Deodoro (parte);180;2;2ª a Sábado;26;360;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Rua Duque de Caxias;650;2;2ª a Domingo;30;1300;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Rua Carvalho Lima;210;2;2ª a Sábado;26;420;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Trav. Aline Ribeiro;50;2;2ª a Sábado;26;100;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Trav. João Manoel;50;2;2ª a Sábado;26;100;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 2;Trav. Carvalho de Lima;40;2;2ª a Sábado;26;80;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 3;Rua Sete de Setembro (parte);300;2;2ª a Domingo;30;600;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 3;Rua Osvaldo Cruz (parte);300;2;2ª a Sábado;26;600;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 3;Rua 14 de Dezembro (parte);300;2;2ª a Domingo;30;600;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 3;Trav. João XXIII;100;2;2ª a Sábado;26;200;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 3;Rua Marechal Deodoro (parte);350;2;2ª a Sábado;26;700;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 3;Av. Pref. Alberto Silva Lavinas;2000;1;2ª a Sábado;26;2000;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 4;Praça São Sebastião;300;2;2ª a Domingo;30;600;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 4;Rua Padre Conrado;250;2;2ª a Sábado;26;500;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 4;Rua da Bandeira;120;2;2ª a Sábado;26;240;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 4;Rua Prefeito Walter Franklim;270;2;2ª a Domingo;30;540;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 4;Rua Carlos Ribas;150;2;2ª a Sábado;26;300;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 4;Rua Manoel Duarte (parte);80;2;2ª a Sábado;26;160;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 4;Rua Gomes Porto (parte);80;2;2ª a Domingo;30;160;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 4;Rua Bernardo Belo (parte);100;2;2ª a Sábado;26;200;
Varrição Manual Fixa de Logradouros Públicos;Centro;Equipe 4;Rua Mariano Procópio (parte);100;2;2ª a Sábado;26;200;
